"sentiment","text"
"neutral"," klare worte kritisiert berichterstattung ber bischof  tebartzvan elst "
"neutral"," das war einfach "
"neutral","bessere ooxmluntersttzung fr libre office geplant  linux via "
"neutral","zahnarztauskunftonline bremen hier finden sie die besten zahnrzte und zahnmediziner aus bremen "
"neutral","  android whatsapp rechtliche schritte gegen softwaremod whatsapp  androidnext"
"neutral"," die groe frontlinie verluft nicht zwischen  religion und  atheismus sondern zwischen menschenfreunden und menschenfeinden "
"neutral","not rational diaper bag gretel cognac diesel  cognac  diaper  diesel  gretel  rational"
"neutral"," japp kannst du schau einfach dass keine seife reinkommt"
"neutral","  nsaberwachung  obama spricht sich fr mehr transparenz aus  yeswescan  berwachungswahn  stopwatchi"
"neutral","endlich da tweetbot bringt an ios angepasstes design und neue features  "
"neutral","interessanter artikel googles gefhrliche meinungsmache  bundestagswahl "
"positive","gawd morgen fahren wir mal eben so weils grad inner nhe ist ins phantasia land krasse scheie "
"negative","lahm kritisiert sammer ffentlich dafr dass dieser seine kritik ffentlich gebt hat aha "
"neutral","china offizielle wirtschaftsstatistiken stark verflscht"
"neutral","khle frau    ich dachte sie war noch warm  domian"
"negative"," hi knnt ihr bitte oceans twelve prfen  nach einer halben std fehlerhaft andere serien u filme laufen problemlos gru"
"positive"," jetzt erst recht geteerten und auf seltsames aufmerksam machen "
"negative","aogo  wofr  sinnlose verstrkung  s"
"neutral","serise kredite ohne schufa im vergleichs test "
"neutral","dvbtfernsehen vielleicht bald nicht mehr darstellbar  tech "
"neutral"," gericht besttigt google muss suchergebnisse nicht entfernen "
"neutral","fr rezensiert night school du darfst keinem trauen von c j daugherty mehr unter "
"positive","er schluckt also gerne "
"negative"," spackos  wiepeinlich  sbvb"
"neutral","die nchsten anschaffungen ram neue tastatur neue maus vorher keine weiteren videospiele ich so "
"neutral"," begeisterung fr shakespeare wecken projekt playing  shakespeare with deutsche bank verlngert "
"neutral"," wein offen umgefallen ausgeschttet leer weinen "
"positive","endlich mal wieder seit langem in ruhe frhstcken "
"neutral","erst wasserwerfer dann scheinwerfer  polizisten mssen nach  seinsatz lhnen gericht  stuttgart"
"neutral","bnd gab metadaten an  nsa hat aber alle daten der bundesbrger zuvor gefiltert also letzteres macht mir wirklich angst  tagesschau  btw"
"neutral"," gut aufgepasst  nachbar verhindert einbruch in lhne "
"neutral","es gibt keinen falschen tweet im richtigen a dner ca "
"positive"," ne fun natrlich schaffst du das d"
"neutral","zeitschrift fuer neuere rechtsgeschichte znr "
"neutral","alte zeiten feiern  one fishmart pic "
"neutral","ich habe ein positiv bewertet cry of fear  die wahrheit ber simon ende hd"
"negative"," schweiz tourismus schumt wegen der oprahgeschichte vor wut vorteil den schaum kann man dann bestens schlagen "
"neutral"," sprechstunde  versicherungsfragen bei  haus amp  grund wilmersdorf uhr uhr lunch non solo vini "
"neutral","major mathe brche addieren trkisch  folge ber "
"neutral"," wenn du die welt nicht mehr verstehst und bild liest vergeht die zeit"
"positive"," lsch schnell d"
"neutral"," subs fabianski nacho frimpong gnabry zelalem wilshere sanogo  ffcvafc"
"positive"," okaaaaay dann brauch ich kein schlechte gewissen zu haben cheonma "
"neutral"," transgender im portrt aus san diego kommt die gelungene fotoserie visible bodies "
"positive","super  bereits einige statements von sp vp piratinnen grnen sowie vom team stronach zur clean "
"positive","echt geiles ding dieses bich  hitzetot"
"positive","  sexkontakte dreamboy aus halle bin dauergeil spontan und freizgig sportlich sch  ard  pro"
"neutral"," hr auf mich dran zu erinnern "
"negative","ich hatte einen pdagogisch ganz und gar unvorzeigbaren tag und einfallsreich war ich auch nein  nein  nein  nein  nein  nein  nein  nein  "
"neutral","bang amp olufsen weitete verlust aus "
"neutral","weiterbildung welche mglichkeiten es gibt und welche absprachen mit dem arbeitgeber getroffen werden mssen "
"positive"," na dann hau rein "
"neutral","obama wollte alles ber merkel wissen usprsident ist seit jahren informiert er persnlich genehmigte spionage gegen merkel"
"neutral","rote ampel kurz vorm ziel die deutsche bahn will mich verarschen "
"negative"," lieber nicht wenn das geht sonst dauert die erkltung noch lnger "
"neutral"," wrde gerne einen fehler melden "
"neutral","neue gadgets diese digitalkamera mssen sie selbst bauen "
"neutral"," ja richtig gaaaanz kurz"
"negative"," nicht schn hast keine passenden medis dafr  "
"positive"," vielen lieben dank  ebenso willkommen in meiner kleinen followerrunde "
"negative","twitch  dornrschen lass dein bh herunter "
"neutral","ironie setzt intelligenz voraus "
"neutral","europa league vfb stuttgart einsatz von ibisevic gegen plovdiv fraglich der vfb stuttgart bangt vo "
"negative"," mnner faxt was fr ein ausbund an  sexismus peinliche scheie  ichkaufdasnicht liebe agentur "
"neutral","test test  panik bei  digitalstrom an der  ifa test test  mydigitalstrom "
"neutral","buen vivir das indigene konzept des guten zusammenlebens aus lateinamerika "
"positive"," ich lerne grad zeitungen haben gar kein problem tolle leser toller content  null diskussionsbedarf"
"neutral","achtung  neue facebookspamgruppe  "
"neutral"," hilft zeit arbeit und geld sicher weiter wenn man dann auf twitter gegen leute rantet i see the point "
"positive"," das kann man ja hervorragend lernen navigieren muss halt echt gelernt sein ich lasse mich von sue bryce inspirieren "
"positive"," hahaha der wrde sich vor lauter mclachflashs nicht mehr einkriegen "
"positive","wir haben schon wochenende  rt warum kann der freitag nicht mal seinem namen alle ehre machen  "
"neutral","welle fristloser entlassungen von beschftigtenvertretern bei burger king geht weiter onlineabo welle fris "
"neutral"," gomez  hummels  schweinie  neuer  bender  "
"neutral","prosieben schulz erfolgreich task force sehr mau "
"neutral","deutscher  wetterdienst warnt region  hannover vor starkem  gewitter mit sturmben gilt bis uhr "
"neutral","was wre nur gewesen wenn ich mich anders entschieden htte  was wre heute aus mir geworden "
"neutral","abgekhlte konjunktur schwellenlnder bereiten iwf sorgen via "
"neutral","nur weil uns beim letzten starken gewitter unser pavillon kaputt gegangen ist "
"neutral","polen schliet beteiligung an militrintervention in syrien aus "
"neutral","grne energiewende sauber sicher und sozial "
"neutral","was bedeutet die zeugnissprache im einzelnen  "
"neutral"," nah  "
"neutral"," gesehen yeah wieder trnen "
"neutral","noch stunden kln jemand tipps fr mich  es regnet   kln  langeweile  dom  starbucks"
"neutral","so frh wach und kann nicht mehr einschlafen "
"neutral"," whoops und die lila amp blaue koigu la la la la la ich sollte besser gar nicht erst hingehen "
"positive"," kein problem klappt danke darf man fragen wer die gemacht hat  "
"positive","so langsam verflacht die partie etwas arsenal schaltet einen gang zurck sieht jetzt mehr nach serie a als premier league aus "
"positive"," ooook enttuschen nicht sieht aber aus wie mehr als cm unterschied deswegen have fun"
"neutral","  indenpeschen berichte von autos amp rollern die beobachten amp provozieren bewegt euch nur in gruppen amp bleibt cool  dui"
"positive"," dann stell dir einfach vor du httest was d"
"positive"," omfg dude  guck den   seine stimmeeee unf hoch tausend"
"neutral"," eigentmlich frei mises daily nzz presse orf at"
"neutral","heute ne  hipster mit nem black flag shirt gesehen und mich gefragt ob die berhaupt ne ahnung hat was das ist "
"neutral"," fuel belt helium "
"positive"," ganz deiner meinung "
"neutral","amber js anyone  befreundete agentur sucht recht bald untersttzung fr nen amberclient web app "
"neutral","wagswivesandgirlfriends wag projekt tage wag lena gercke thema schnste frisur lena stehen kurze sowie "
"neutral"," schreib ihr mal nen brief idk wenns durch normales reden net geht gibs ihr schriftlich schreib einfach alles auf was dich strt"
"neutral","aus dem dunkel ans licht plne fr  lobbyregister gescheitert via "
"neutral"," europas schuldenkrise niedrige zinsen entlasten deutschland um milliarden euro "
"neutral","trotz schwierigem zweiten quartal mediasaturn setzt starkes onlinewachstum fort  ecommerce  retail"
"positive"," ein dankeschn an den herrn aus mnchen "
"positive","ich habe ein positiv bewertet lets schlechte parodie specktv"
"neutral","non mentions sind das neue lstern "
"neutral"," forum zur mariahilfer strae was wrden sie verbessern  via "
"neutral","mis cholitos juanito el andino nach machart waldorf will lieb gehabt werden die puppe fr ihr kind "
"neutral","international fhrendes  it unternehmen sucht einen global senior corporate  applications manager in der  schweiz  "
"neutral","chopper xv berlin yamaha xv kw km ez rot tv schner kleiner choppe "
"neutral","kommunikation klger arbeiten "
"neutral","solheim cup europa gewinnt gegen die usdamen exklusiv golfen "
"neutral","landtagswahl rekordzahl briefwahl beitrag br "
"negative","wenn ich mrinen freund nicht htte ne r i p caro "
"neutral","gleich gehts los  uhr liter freibier im kurpark schliersee  "
"positive"," bison  multichannelstudie wut und frustkufe zu weiterhin via offlinehandel danke heute aben"
"neutral","photoset subtilitas bearth amp desplazes gantenbein winery flsch photos cralph feiner "
"positive","neues von  catrice meine kleine aber sehr feine ausbeute  beauty  newin  iloveit  pinkerbell  blush "
"neutral"," gute nacht  knnen sie erklren was passiert mit der unterzeichnung des zaqueiro vilson sepalmeiras  "
"positive","yes das war nen heiden spa feuchtgebiete geiler "
"neutral","tommy haas gg granollers beim im satz schmiss er den schlger zum mal jetzt viel lrm um fast gar nichts  atp"
"neutral"," bis juli denke aber dass meine eltern dann weiterhin da drin wohnen werden "
"negative","wenn schon alles gratis wird warum nicht auch aperture "
"neutral","sie sind freier  ingenieur und suchen dringend ein neues  projekt ihr expertenportal hochqualifizierte  fachkrfte "
"neutral","das ende des edgerank facebook aktualisiert rankingfaktoren des newsfeeds rt "
"negative"," dont text me back cool "
"neutral","fordere abfuckprmie zwecks sofortigem reichtum "
"neutral","    ganz wichtig    bitte unbedingt franks auflistung beachten    "
"neutral"," syp yg pgang mimin  d"
"neutral","social media macht keinen sinn cocacola deutschland ersetzt corporate website durch social media magazin "
"neutral","nike air delta force high white kaum getragen erlangen verkaufe coole nike air delta force high in wei "
"positive","wo sind schweiz beliebers und deutschland beliebers bitte helfen  mtvhottest justin bieber"
"positive"," a  sneakpeak of my latest  drawing watching over you eine kleine vorschau meiner neusten zeichnung happy monday  http"
"positive","hammer geiles video    weiter so    ps mal ne frage was ist das fr ein soundtrack  "
"neutral","mordprozess in sdafrika was oscar pistorius iphone verraten knnte via "
"neutral","plan b ndert seinen namen in bartek amp kndigt neue ep apfelschnitzschneider an "
"negative"," ne danke keine deutschen produkte mit deutschem support mehr  "
"neutral","phantom kommt sofort nach dem start in starkes trudeln "
"neutral","passt nur auf  irgendwann macht mein shiny icognito o alles kaputt   truth  fact"
"neutral"," hast meine neue adresse noch  "
"neutral","lunchpaus  konferens  riseinstitutes  pr  kommunikation "
"neutral","  berlin google zeigt sich aufgebracht ber mgliche nsaschnffeleien "
"neutral","bundestagswahl schutz vor psychischen belastungen verbessern "
"positive","  viagra sehr billig kaufen"
"neutral","was zu erwarten war rosen kndigt protest an  phantomtor"
"neutral"," musik musste meine sdkarte formatieren habe nichts mehr aufm handy "
"neutral"," keinen schimmer"
"neutral"," siri eintracht braunschweig  keine treffer "
"positive"," haha  "
"neutral"," uhrtermine entsprechen nicht meinem lebensrhythmus aber wat mut dat mut "
"neutral","bildstrecke auflsung szsommerrtsel folge schwabing symbiose von einst und jetzt fr "
"neutral"," thanks  "
"negative"," aber nicht zu fest amp labertasche "
"neutral","alpha ch projektleiterin abwasserentsorgung wasserversorgung ernst basler partner ag  stelle  industrie"
"negative"," nein warum ffentlich geschriebenes bleibt ffentlich kein schutz fr tter  "
"negative","hilfeee  ich werde wieder wach mmmpf  man reiche mir den holzhammer bitte  schnell"
"negative","ja ich bin atlusgeschdigt  "
"neutral","besser spt als nie asyl fr edward snowden ndr "
"negative","my top  lastfm artists tomte queen amp einstrzende neubauten  punk "
"neutral","neu im shop string finesia obsessive schwarz finesia black sexy string aus zarter floraler s  dessous"
"positive","lalala mit den besten chilln und die groen jungs beim fuball spielen mit den kleinen jungs zugucken d"
"neutral"," meldet neuen anrufer unter als  unbekannt  "
"neutral","heftiges pvpgefecht in immortalis bis uhr  wir brauchen jeden fhigen kmpfer   immortalis "
"neutral","steffen tiggeler verstorben berlingen "
"neutral","solarenergie ehrenamtlich frdern "
"neutral","arztauskunft hamburg die besten rzte und mediziner aus hamburg "
"neutral"," sowas macht meiner nicht aaaaber daaas "
"neutral","altaro hyperv backup sichert virtuelle maschinen "
"negative","gebrauchte wrde ich auch nicht haben wollen "
"positive","guten morgen  gleich kurz zur schule s"
"neutral"," die bewlkung nimmt zu es wird wrmer in den nchsten bis stunden sind niederschlge mglich windig "
"neutral","freier ausbildungsplatz  iavgmbh  chemnitz  elektronikeringerteundsysteme "
"negative"," oje klingt aber sehr schlimm"
"neutral","anbieterbefragung tekom aktualisiert cmsstudie  kw  cms "
"neutral"," ja aber morgen ich muss schlafen jetzt sofort "
"positive","isst du gerne scharf oder lieber nicht scharf  meine mutter kocht immer scharfes essen darum liebe ich etwas s "
"neutral","  flammen schlagen fnf stockwerke hoch  die  temperaturen steigen  winde werden bis zu kmh stark "
"positive","angry birds death star pinata  herrlich dieser schweinetodesstern zum zerschlagen  "
"positive","carl verreist fr zwei wochen mit minimalistisch berechnetem gepck tag null carl lsst eine butterbrezel auf seine hose fallen "
"positive"," preach "
"neutral","bunt gereinigtes menschenpflaster"
"negative"," heute kein neuer dod bericht "
"positive"," a geil jetzt werd ich gleich wuschig "
"negative"," ein grauenhaftes erlebnis war auch dort unglaublich einfach unglaublich "
"negative","gnahh  dasistdochkeineuhrzeit"
"neutral"," nope mache danach ne ausbildung"
"negative","kein erfreulicher morgen"
"neutral"," kader nicht besttigt miele wolf theo iggy prdl luki luca harth kroos juno memo hunt makiadi arno elia zkan disanto pe"
"positive"," heyes sind ap das alleindas ist coold ich glaube nicht das die pltze schlecht sind"
"positive"," yes  habe ne kapujacke mit  schlauer joe  "
"neutral"," ach noch geht es zumindest mit tweet deck behlt man noch den berblick"
"neutral","der ceo von haier erklrt unternehmensleitern man muss sein geschft neu ausrichten oder zhlt im "
"neutral"," deshalb erwnschtes verhalten bestrken durch lob unerwnschtes bestrafen "
"neutral","protzkirche  beschimpft die kirchen nicht  christen entlasten den sozialstaat apologie v georg meck  tebartz  fb"
"neutral"," man darf bezweifeln dass sich die pol verantwortlichen der tragweite berhaupt bewusst sind siehe nachhaltige stadtentwicklung"
"positive","wie neu  tolle mbt herren sportschuhe mahuta blau gr chf "
"negative","ne der  niebel will nicht authentisch sein wundert mich nur begrenzt  ueberzeugtuns"
"neutral","tausche oldtimerraritt gegen womo mit ahk u tv startseite biete oldtimer raritaet vauxhall viva sl super "
"neutral"," der kennt sich da super aus "
"negative","was macht die rztin denn da drinne       "
"positive"," n scheint wohl keine neigetechnik zu sein "
"neutral","steffen henssler promis mssen ihr gericht sehr gut knnen ab dem september dieses jahres werden jede wo "
"negative"," pssst  "
"neutral","crytek nimmt wegen verdchtiger aktivitten mehrere seiten aus dem internet spieleent "
"neutral","meine falten stehen unter denkmalschutz "
"neutral","selbstbewusstseindirektgedankenkraft "
"neutral","zurck vom einkauf habe ich gerade aus schokoladenpackungen mit wieder gemacht  patricksblog"
"positive"," weil a entweder nett ist oder b geld dafr bekam oder c was von dir will ganz einfach also "
"neutral","ds nintendo kndigt neue handkonsole an nintendo bringt im oktober den nintendo ds auf den markt seinen "
"neutral","januar august verrckt  haare  kurz  lnger  dunkel  hell "
"neutral","rostocker stadtwehrfhrer lsung bis ende der woche rostock dpamv im streit zwischen der stadt rostock "
"neutral","leidenschaftliche affre  kurzgeschichten"
"neutral"," habe dem traummann eine mail geschickt dass er bitte unbedingt seinen penis mitbringen soll "
"positive","kln nachrichten gamescom besucherzahlen explodieren "
"negative"," das wars dann wohl fr massa schade eigentlich "
"positive"," wie sich menschen wundern dass under the dome gut ist steven spielberg verfilmt etwas was stephen king schrieb hal"
"neutral"," debatte um rstungsprojekt neue vorwrfe gegen de maizire "
"neutral","dgapadhoc cinemedia film aktiengesellschaft geyerwerke verlust von mehr als der hlfte des grundkapitals "
"negative","paradox ist wenn man den guardian schtzen muss "
"positive"," i hafe eing siber lmaoo you drunkkk bitchhh hahhaha"
"neutral"," no not einstein "
"neutral","austria frauenliga neulengbach vs wacker innsbruck sturm graz vs sdburgenland altenmarkt vs union kleinmunchen "
"negative","ch bin nicht glcklich"
"positive"," bier in einer netten zentralen bar ich sollte nach rostock ziehen "
"neutral","nla patrick geering verlngert bei den zsc lions die zsc lions freuen sich bekannt geben zu  eishockey de"
"positive","viel viel spa  und zeig uns tolle bilder  los gehts zum umstyling mit "
"neutral","in unserer sprachstand diskutieren und ich sprachliche segregation an schulen "
"negative","wenn ich sowas hre wie er will mich schtzen deshalb treffen ir uns nicht knnte ich kotzen"
"positive"," hey bae  "
"neutral"," was wllen ihr shn wieder  echt doe normaal of ik vermoord je irritant kind"
"neutral","gelassenheit podcast visualisierung dunkle farbe worte bilder emotionen hngen miteinander zusammen wen "
"neutral"," kreuzung altonaer strasse schanzenstrasse voller menschen in grppchen keiner wei was die polizei vor hat ruhige spann"
"negative"," pio pio piopiopio klack klack nachladebewegung mach"
"neutral","hola "
"neutral","unsere partner von ultimate ears hauen jede menge gratismusikdownloads amp rabattcodes fr die ue boom raus  los  "
"positive"," danke  wir geben uns mhe  "
"neutral","  mollath kommt frei olg nrnberg entscheidet dass mollath unverzglich aus der psychiatrie zu entlassen sei "
"neutral"," gute sache spdzentrale in bremen aus solidaritt mit  lampedusahh besetzt  "
"negative","htte vielleicht doch was langes anziehen sollen "
"positive"," omg dammit i thought you lived here in sydney you have to come here one holidays and we can hang out omg"
"neutral"," fakt ist schne mnner sollten sich ihren bart nicht abrasieren "
"neutral","ob jger oder beute man muss fit seinem dschungel  prozent  kontrak"
"negative","passend zu allem auch noch kopfschmerzen fuck that shit "
"neutral","  energiewende paradox deutschlands wundersame stromschwemme  faz"
"neutral"," gene hoglan official page hat sich ausfhrlich zu den unschnen details seiner trennung von fear factory "
"neutral","menschlicher abfall"
"neutral","betritt die bhne im bad winkt dem publikum tritt ab "
"neutral","  rammsteins  tilllindemann zweiter gedichtband in stillen nchten erscheint heute  "
"neutral"," min die sg lauttersctein mit einem langen angriff den distel von rechtsaussen sabschliesst zur fhrung "
"neutral","gegen rechts und antisemitismus wurde gerade verffentlicht  topthemen heute von "
"neutral","kurt cobain eine berdosis ruhm der tod von kurt cobain erschtterte nicht nur die rockszene sondern "
"negative","  krankenhaus  chillen  kopfschmerzen  aua  kreislauf  schwindelig  nicht  laufen  knnen  geiles "
"neutral","loreal colour riche lipstick lipstick sweet peach  colour  loreal  lipstick  paris  peach  riche  sweet"
"negative","also nicht weil eure ksotme doof sind sondern weil ich grad irgendwie keinen bock auf kostmieren hab "
"neutral"," onlineautorin bloggerin mutter amp inhaberin eines kleinen familienunternehmens unbedingt  ff"
"neutral","ach ja war eine nette choreo fr den whler  groko  cdu  spd"
"positive"," pscht  nicht hier  geh doch bitte aufs klo dazu ja  danke dir  lt"
"neutral","calvin klein mens flat front solid white linen  calvin  flat  front  klein  linen  mens  solid  white"
"positive","ihr msstet mich mal lachen sehen so niedlich und das gegrunze erst  "
"neutral"," kurz vor jahresende finanzchecks de gehrt zu den top websites platz "
"neutral","galaxy note mit einen zoll full hd super amoled display ifa galaxy note bei der ifa zeigte "
"neutral","gnstige finanzierungen ohne schufa deutschland  kredit fr jeden zu besten konditionen niedrige zinsen  "
"neutral"," nie mehr schafft die neue regierung gerade bei den sondierungen plus ab "
"neutral","anruf erwnscht be city  neu sexy versaut hemmungslos be city  neu sexy versaut hemmungslos brandneu yenis in "
"neutral","lincoln speedway top wilt haas d dietrich rahmer montieth siegel krimes r wilson forsythe b dietrich "
"neutral","eifersucht ist die leidenschaft die mit eifer sucht was leiden schafft "
"positive","danke  hrt man eigentlich viel zu wenig danke danke danke danke danke danke danke danke danke      lt"
"negative","hope im not getting sick fr fr"
"neutral","serpas tumblr heier typ heier typ blder dummer witz heier typ heier typ heier typ eis"
"negative","wieso macht der keinen metalsong  h  bldi  tvog"
"positive"," gute idee bin dabei d "
"positive"," weil herzchen toll sind und auf chen enden und weil ich euch lieb habe "
"positive","montage die mit freien straen und bunten weinbergen beginnen knnen so schlecht nicht sein "
"neutral","gigaset ag dgapadhoc gigaset ag flieen aus erfolgreicher platzierung von kapitalerhhung und "
"neutral"," einhelliges urteil der kritiker die show geht nach dem piloten den bach runter "
"neutral","gift box cake geschenk torte bolo presente "
"positive"," hoya knnte ihr gleich reinfassen wrde unaufflliger sein als sein geglotze hahaha d"
"neutral","arbeit bis zum umfallen warum schwerkranke politiker nicht aufhren knnen focus online arbeit bis zum umf "
"neutral","wwe news nxt talente bekommen namen hulk hogan ber mgliches wwe comeback zach gowen interview  wwe  nxt  raw"
"negative","ausverkauf    dieses foto aus der neuen wu find sogar ich ein bisschen heftig via "
"neutral","neu jung amp naiv peer steinbrck die heie wahlkrampfphase steht bevor klar dass politiker derzeit leichte "
"neutral","hier ist facebook nicht down ich hab trotzdem besseres zu tun "
"neutral","  dildo  fickmaschine  doppeldildo  anal  arsch  camsex  camgirl  titten  sexy  corsage auf "
"negative"," hammer  eher hochnotpeinlich "
"positive","entspanntes kind rechnen war sooo leicht "
"positive"," so so du hltst arme fette fliegen gefangen amp berwachst sie dann auch noch  ups  nsa amp  prism lassen gren "
"neutral","wann kommt nchstes video   "
"neutral"," ups ja  gab nur ausgabe script matthias d artwork kim schmidt ich art assist "
"neutral","  telmi  computer nsa durchsucht emails von usbrgern noch intensiver als gedacht laut einem zeitungsbericht "
"positive"," aber er hats trotzdem richtig anstndig gemacht im gegensatz zu den bisherigen "
"negative","ndr seniorenchor absolute fassungslosigkeit meinerseits "
"negative","selbst peter und olli fllt nicht viel zu dem film ein  schlefaz"
"positive"," jap hab jetzt einfach mal die neuere version installiert natrlich keine kontakte vorhanden "
"neutral"," auch naturwissenschaft ist schwammig bspw die evolutionstheorie wird immer als bewiesen angesehen "
"positive"," ich erwhne mal nicht dass des quietschbeus liebstes schimpfwort lange zack  war "
"positive","dat wre mal geil gratis smartphone von amazon "
"neutral","sommerpause vorbei neue ticketverlosung gratis ans zrich openair zu nine inch nails arctic monkeys amp co "
"positive","freitagiger donnerstag   wochenende  rosa  blau  grn"
"positive","heute abend dann noch haare frben und sport machen d"
"neutral"," we did so much defense stuff "
"neutral","wiener meduni unter fhrenden transplantationszentren "
"negative"," klar max mit fahrrdern hatten sich mich als ziel ausgesucht rauchentrinken amp dann schlechtes elternhaus  dummewelt"
"neutral","motor aus  angekommen  "
"neutral","pep  guardiola froh der spirit meiner mannschaft war immer da  fcbayern "
"neutral","innerdeutscher flugverkehr stark geschrumpft  riester"
"positive"," hallo kleiner ser mann  me too alex  "
"negative","routentracing zu dem server zeigt jedenfalls nichts gutes an habe nirgendwo sonst probleme spiele aber auch kaum was anderes online "
"neutral","  telmi  dewa high tech laut nintendo sind neue konzepte wichtiger als hdremakes"
"positive","welkam to favor  have fun  klo mau gw polbek just mention "
"neutral","was haben kopflose hhner amp gehlftete kakerlaken miteinander zu tun   vsauce  youtube  fun  philosophie  gehirn"
"neutral"," schrottabholung lahib wenn sie daran interessiert sein sollten mit ihrem schrott gutes geld "
"negative","eil dummes fuballspiel wen kmmerts"
"positive"," uh uh schick trkischer hennaabend  "
"neutral","live sex die scharfe girl ist geil auf harten doppelfick und wildes blasen "
"neutral","wetter knnte nicht besser sein fr den bundesligastart "
"neutral"," wir drucken ihre fotos als poster egal ob sie ihre wnde mit ihren schnsten "
"negative","  telmi  nachrichten  news urteil gegen exmafiaboss geschworene sprechen james whitey bulger schuldig "
"positive"," du gibst mir immer so viel kraft und machst mich glcklich danke dafr i love you"
"positive"," absolut  sehr gutes spiel auch von  hummels und mkhitaryan mit einem kopfball  gegen italien  "
"positive"," grad feierabend wochenende urlaub gleich vier gute grnde um gleich betrunken am pool zu liegen "
"positive"," dann muss er net mehr barfuss rumlaufen d"
"neutral","polne renitenter radfahrer leistete widerstand "
"neutral","  wissenschaft  podcast methodisch inkorrekt wunderb neuentdeckung top input dabei locker amp unterhaltsam "
"neutral"," tja  wir knnen nie wissen wessen temp fr uns geeignet ist d doch klar dann verbrennt er seine zunge mit dir mit "
"neutral","muss bald mal bei hampm bestellen "
"neutral","sean edwards tdlich verunglckt  fia  wec  wecmag"
"neutral"," smells like "
"neutral"," bitte lie den beitrag von bei fb durch lt"
"neutral","foto satanlovesyouxxx zombies and more via tumblr auf we heart it "
"neutral","a richtung chemnitz zwischen hof amp pirk stau bm"
"positive"," aus schnakensicht stimmt dies sicherlich "
"negative","achja und morgen soll es wieder regnen was soll ich nur anziehen verdammt      "
"neutral","  fcbayern frankfurts jung fllt gegen bayern wohl aus frankfurt eintracht frankfurt muss im heimspiel gegen "
"neutral"," geschichte fllt aus richtig  "
"positive"," auch twitterer brauchen urlaub  erholt euch gut bis september bevor der wahnsinn wieder beginnt  "
"positive"," ahhahahah jaa"
"neutral","fr kochen obwohl man alleine wohnt kann ich gut "
"neutral","einfach nur sex    hamburg jahre jung cm gross schlank cm bestueckt und cm umfang dick "
"neutral"," merkels antwort auf die finanzkrise marktkonforme demokratie ihre antwort auf  prism systemkonforme brger "
"positive"," eueheueehuh int "
"positive"," unfassbar     groartig  "
"neutral","connected car verschreckt ltere autofahrer  studie  kfz vr"
"neutral"," menschen mit der macht dein schweres herz nur mit einem lcheln oder ein paar worten leichter zu machen immer wieder bi"
"neutral","kleines email fotoalbum vorbereiten hobbies urlaub landkarte  "
"neutral"," fehler in meldung moskaus untersttzung fr syriens prsidenten putin soll wohl assad heissen  "
"positive"," awww  die mchte ich  "
"neutral"," wir bauen unser videoressort aus suchen reporter und einen head of videoaudio mails an via "
"negative"," dezent scheie   "
"positive","hapi brtday tahsin gebe gebe tahsin aahahh aksam aksam guldrdler d"
"neutral","florida richtet geistig kranken mrder hin "
"positive","  ffmittagsgre aus berlin danke dir auch liebe gre"
"neutral"," nope grad kam bei einslive ne unwetterwarnung frs mnsterland moinsen  "
"negative"," furchterregendes interview mit  cdcvizeprsidenten zur fehlenden zukunft wirksamer  antibiotika  gesundheit "
"positive"," witziger junggesellenabschied der anderen art habe brigens gegen den hkollegen gespielt  h  s "
"neutral","sngerin sucht bandtrioduo  musiker  knstler  bands  kostenlose  kleinanzeigen sympathische sehr zuverls "
"neutral","wiener brse im verlauf leichter atx minus "
"neutral"," what does the fox say   gut der da sagt wohl nichts mehr  shoppingqueen"
"positive"," woaaaaaaaaaah o ich bekomm schon nen collaps wenn ich dran denke dass hardi mein bild kommentiert hat o er muss annehmen"
"neutral","autobahn ende richtung allensbach bis nach konstanz stau "
"positive"," das sieht aber mal gut aus "
"neutral","new post warum nikon telekonverter nicht mit dxobjektiven verwendet werden knnen "
"neutral"," zeit fr einen rezept blog  "
"neutral","ein mensch ist zu viel kein mensch zu wenig ich brauch ein mensch"
"neutral","beim schlafen "
"neutral"," helikoptereltern kmmern sich zu viel wieso ihnen aber kaum etwas anderes brig bleibt  achtung"
"positive","mika todd und chelsea ching werden heiraten ja das war bevor mir mitteilte dass chelsea sich verlobt hat g"
"negative","will weg von hier knnen wir morgen nicht schon nach hause  der urlaub macht alles noch schlimmer "
"neutral"," eil dbbahnmanager muss gehen eine hochrangige fhrungskraft aus mainz muss gehen nachdem keine zge mehr fahren  newstweet"
"positive"," du glckliche mir steht roter lippenstift nicht d"
"negative","kraftklub  perfekt jetzt gib mir irgendwas was ich zerschlagen kann fuck     gt lt"
"neutral","bayer healthcare aspirin sozialpreis innovative gemeinntzige gesundheitsprojekte gesucht bild "
"positive","ich lieb disch tamam askim bende seni "
"neutral","erdbeben erschttert fukushima ein erdbeben der strke erschttert die japanische region fukushima die "
"negative","  yesss wertkarte cent pro kb macht pro mb oder pro gb gleiche menge datenpaket das nennt man wohl wuch"
"neutral","die ausm tv sagte freu mich sie morgen wieder zu sehen  h  ist ja genauso als wrd ich sagen freu mich sie wieder zu hren    "
"neutral","wow also mit kartoffelkndel dazu rrrrr burgunderbraten die edle art rind zuzubereiten  "
"negative"," selten dmlich die russen verstehen keinen spa "
